landslides_polygons$id,mean.tch,sd.tch,mean.slope,mean.tri,tri.10m,elev,elev.km,ls.northing,ls.easting,insol.dsm,insol.kw,insol,agb,year,age,surface.area,perimeter,elev.mean.tch,max.tch.buf,rem
2,2.560786086,2.389976935,39.31415838,1.266432432,5.87787413,3315.051459,3.315051459,0.776469977,-0.159904054,1523187.407,1523.187407,4.173116183,14.22514105,1993,20,4939.850133,275.9817042,7.441569384,12.59033203,1
4,1.015593084,1.96431596,41.69746705,1.41131859,6.681695261,3192.533883,3.192533883,-0.895478426,0.302463991,1340171.594,1340.171594,3.671702998,4.570034655,2009,4,8106.057159,565.513974,9.696014477,12.38378906,1
7,0.243711532,0.609766448,40.21446908,1.360723106,6.548949284,3134.730307,3.134730307,0.927800337,0.123452852,1529475.119,1529.475119,4.190342791,0.740128279,2008,5,8726.201342,455.6683541,10.75965769,6.242675781,0
9,0.728429555,1.839126351,37.27545207,1.274426912,5.74447876,3047.0861,3.0470861,-0.600212794,0.394409997,1123951.174,1123.951174,3.079318284,2.104177213,2008,5,3150.814882,245.6739111,11.59876967,5.001708984,0
10,0.580928901,1.83723595,45.54950824,1.636495158,7.821810554,3180.407891,3.180407891,-0.745255891,0.557413498,1273951.047,1273.951047,3.49027684,3.22942189,2010,3,5046.046677,410.9352669,9.919144776,15.02416992,1
11,0.302483017,0.948955433,39.74849061,1.28016241,6.111125353,3122.520716,3.122520716,0.59641903,0.737793019,1405416.121,1405.416121,3.850455127,1.897514668,2010,3,5875.306336,389.4794268,10.98432629,3.826416016,0
12,3.185003227,2.943251906,38.02201816,1.244426381,6.012567694,3140.164661,3.140164661,0.184883355,0.880468136,1283937.712,1283.937712,3.517637568,26.16126119,2006,7,2540.890746,338.3123904,10.65966018,6.934570313,0
19,10.04862156,4.534551948,50.50173039,1.995221084,9.793048096,3039.008488,3.039008488,0.160679009,0.931253741,1228751.695,1228.751695,3.366443,66.49885178,1991,22,1770.339394,199.8253847,11.60831241,22.66552734,1
20,1.149772571,1.265454245,49.909276,2.088694658,10.17061517,3037.18123,3.03718123,-0.065733531,0.902585213,1024487.839,1024.487839,2.806815998,6.600748774,2008,5,6676.184372,483.2885507,11.6104711,7.833251953,0
21,1.142924996,1.479836759,41.03746851,1.658563653,8.305526733,2949.158976,2.949158976,-0.065533749,0.901925526,870865.2192,870.8652192,2.385932108,12.41055015,2003,10,2417.282011,224.4633511,11.71445894,5.805664063,0
22,1.481409905,1.253389963,48.63742262,1.849833624,8.958917954,3082.118774,3.082118774,0.95105129,0.145196733,1298191.262,1298.191262,3.55668839,6.394954836,2011,2,3118.164704,288.1332162,11.55738272,6.814208984,0
25,1.444669945,1.001283737,45.81906574,1.615858316,7.696377638,2941.929294,2.941929294,0.546332332,0.768366746,1143017.252,1143.017252,3.131554114,7.511166224,2011,2,6165.357816,435.7095435,11.72299995,4.231201172,0
26,1.375352223,1.858410383,46.705805,1.714606448,8.507704515,2897.30749,2.89730749,0.352289204,0.893750598,871439.0129,871.4390129,2.387504145,14.16297071,2011,2,1821.358384,238.5415578,11.77571532,3.027832031,0
27,0.914761003,1.288539886,52.99004292,2.338127641,11.20109081,2973.39294,2.97339294,-0.426602741,0.866316665,957217.702,957.217702,2.622514252,5.653122948,2012,1,5993.209767,383.994714,11.68582939,10.30078125,0
28,1.337762762,3.240725186,45.20171835,1.621351158,7.603717202,3187.868996,3.187868996,0.874908907,-0.336757183,1198643.887,1198.643887,3.283955856,7.632421172,2007,6,5873.328211,372.146443,9.781853042,27.81005859,1
30,3.600478393,3.063681219,40.72499239,1.361207642,6.150500997,3243.822078,3.243822078,-0.328977526,0.777748886,1361414.893,1361.414893,3.729903817,21.24747788,2003,10,7904.991521,848.4279928,8.752260754,10.24951172,1
31,1.961460426,2.594831082,36.30017253,1.160429793,5.559917913,3307.903135,3.307903135,-0.187059985,0.842375993,1563568.055,1563.568055,4.283748096,10.41331764,2001,12,97561.19313,1784.277121,7.573105637,19.52636719,1
32,2.358059774,2.819343658,43.04099637,1.477384023,6.784239116,3390.488964,3.390488964,0.029717968,0.929427741,1399106.054,1399.106054,3.833167271,15.87901238,2003,10,2618.379194,247.7266353,6.053444351,9.308837891,1
